Step,Action,Reward,Done
1,0,0.0,False
1,0,0.0,False
2,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
14,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
14,0,0.0,False
15,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
14,0,0.0,False
15,0,0.0,False
16,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
14,0,0.0,False
15,0,0.0,False
16,0,0.0,False
17,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
14,0,0.0,False
15,0,0.0,False
16,0,0.0,False
17,0,0.0,False
18,17,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
14,0,0.0,False
15,0,0.0,False
16,0,0.0,False
17,0,0.0,False
18,17,0.0,False
19,17,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
14,0,0.0,False
15,0,0.0,False
16,0,0.0,False
17,0,0.0,False
18,17,0.0,False
19,17,0.0,False
20,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
14,0,0.0,False
15,0,0.0,False
16,0,0.0,False
17,0,0.0,False
18,17,0.0,False
19,17,0.0,False
20,0,0.0,False
21,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
14,0,0.0,False
15,0,0.0,False
16,0,0.0,False
17,0,0.0,False
18,17,0.0,False
19,17,0.0,False
20,0,0.0,False
21,0,0.0,False
22,7,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
14,0,0.0,False
15,0,0.0,False
16,0,0.0,False
17,0,0.0,False
18,17,0.0,False
19,17,0.0,False
20,0,0.0,False
21,0,0.0,False
22,7,0.0,False
23,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
7,0,0.0,False
8,0,0.0,False
9,0,0.0,False
10,0,0.0,False
11,0,0.0,False
12,0,0.0,False
13,12,0.0,False
14,0,0.0,False
15,0,0.0,False
16,0,0.0,False
17,0,0.0,False
18,17,0.0,False
19,17,0.0,False
20,0,0.0,False
21,0,0.0,False
22,7,0.0,False
23,0,0.0,False
24,0,0.0,False
1,0,0.0,False
2,0,0.0,False
3,0,0.0,False
4,0,0.0,False
5,0,0.0,False
6,0,0.0,False
